time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449450000	17.8994	18.1697	4.80468	2.33088	0.504469	radar	2.63314	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7599	18.3243	4.77896	2.35205	0.502639	lidar	1.65265	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6206	18.5104	4.77499	2.35747	0.466698	radar	6.5533	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4391	18.6806	4.78303	2.38294	0.468353	lidar	0.186174	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2527	18.8236	4.77811	2.42629	0.51932	radar	2.07119	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.0873	18.9647	4.76038	2.45122	0.520104	lidar	0.735882	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9191	19.1351	4.76334	2.4611	0.488378	radar	2.81601	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7055	19.2467	4.75659	2.50327	0.510796	lidar	2.92904	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5168	19.3971	4.76221	2.53023	0.525376	radar	3.09104	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3071	19.5438	4.77783	2.55585	0.522662	lidar	0.56118	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0801	19.6284	4.77073	2.61484	0.590998	radar	10.1922	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.881	19.765	4.77637	2.63589	0.579929	lidar	0.685193	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6879	19.8955	4.76891	2.62888	0.477299	radar	3.26177	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4727	20.0375	4.78768	2.6447	0.464962	lidar	1.20823	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2676	20.1741	4.79562	2.65466	0.440352	radar	5.57222	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0774	20.3094	4.79293	2.66321	0.424242	lidar	1.69976	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8477	20.3888	4.79218	2.70855	0.478536	radar	2.32527	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6352	20.5067	4.79755	2.7243	0.468043	lidar	0.606541	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.4041	20.5885	4.80249	2.76848	0.525343	radar	1.36082	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1606	20.6595	4.81026	2.80293	0.534498	lidar	0.855262	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9285	20.7278	4.81214	2.84283	0.57172	radar	0.286032	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6644	20.7836	4.83231	2.88088	0.5809	lidar	2.17436	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.4221	20.811	4.83186	2.94367	0.669345	radar	1.76292	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1736	20.8504	4.83887	2.98007	0.67197	lidar	0.251972	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9455	20.91	4.83622	2.99495	0.631701	radar	1.90388	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7289	20.961	4.82436	3.01656	0.621095	lidar	1.58209	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4851	20.9991	4.83083	3.04183	0.609912	radar	2.72823	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2383	21.036	4.84034	3.06597	0.600439	lidar	0.352537	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	12.0021	21.0555	4.83831	3.09641	0.607472	radar	0.834948	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7521	21.0282	4.83741	3.14162	0.626305	lidar	1.68088	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.5078	21.0146	4.83678	3.17461	0.622739	radar	1.03855	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.279	21.0132	4.82837	3.20112	0.618117	lidar	0.523463	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0296	20.9733	4.83178	3.23962	0.623066	radar	4.10848	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.8045	20.9402	4.81884	3.2734	0.628391	lidar	0.393827	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5547	20.9445	4.82212	3.26072	0.513067	radar	5.75582	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2896	20.972	4.84876	3.25959	0.474282	lidar	3.68526	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
